exchange,underlying,expiry,ts,underlyingPrice,symbol,strike,type,moneyness,markIv
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-61000-C,61000,call,0.9111,0.8781
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-61000-P,61000,put,0.9111,0.878
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-62000-C,62000,call,0.9261,0.8335
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-62000-P,62000,put,0.9261,0.8335
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-63000-C,63000,call,0.941,0.7652
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-63000-P,63000,put,0.941,0.7652
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-64000-C,64000,call,0.956,0.6937
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-64000-P,64000,put,0.956,0.6937
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-65000-C,65000,call,0.9709,0.6301
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-65000-P,65000,put,0.9709,0.6301
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-65500-C,65500,call,0.9784,0.5993
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-65500-P,65500,put,0.9784,0.5993
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-66000-C,66000,call,0.9858,0.5746
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-66000-P,66000,put,0.9858,0.5746
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-66500-C,66500,call,0.9933,0.5416
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-66500-P,66500,put,0.9933,0.5416
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-67000-C,67000,call,1.0008,0.5102
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-67000-P,67000,put,1.0008,0.5102
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-67500-C,67500,call,1.0082,0.4905
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-67500-P,67500,put,1.0082,0.4905
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-68000-C,68000,call,1.0157,0.4685
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-68000-P,68000,put,1.0157,0.4685
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-68500-C,68500,call,1.0232,0.4559
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-68500-P,68500,put,1.0232,0.4559
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-69000-C,69000,call,1.0306,0.457
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-69000-P,69000,put,1.0306,0.457
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-69500-C,69500,call,1.0381,0.4709
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-69500-P,69500,put,1.0381,0.4709
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-70000-C,70000,call,1.0456,0.4785
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-70000-P,70000,put,1.0456,0.4785
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-70500-C,70500,call,1.053,0.5127
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-70500-P,70500,put,1.053,0.5127
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-71000-C,71000,call,1.0605,0.5204
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-71000-P,71000,put,1.0605,0.5204
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-71500-C,71500,call,1.068,0.5577
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-71500-P,71500,put,1.068,0.5577
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-72000-C,72000,call,1.0754,0.5936
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-72000-P,72000,put,1.0754,0.5936
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-72500-C,72500,call,1.0829,0.6193
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-72500-P,72500,put,1.0829,0.6193
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-73000-C,73000,call,1.0904,0.6634
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-73000-P,73000,put,1.0904,0.6634
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-73500-C,73500,call,1.0979,0.709
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-73500-P,73500,put,1.0979,0.709
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-74000-C,74000,call,1.1053,0.7523
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-74000-P,74000,put,1.1053,0.7523
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-74500-C,74500,call,1.1128,0.7955
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-74500-P,74500,put,1.1128,0.7955
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-75000-C,75000,call,1.1203,0.8384
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-75000-P,75000,put,1.1203,0.8384
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-75500-C,75500,call,1.1277,0.8504
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-75500-P,75500,put,1.1277,0.8504
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-76000-C,76000,call,1.1352,0.8504
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-76000-P,76000,put,1.1352,0.8504
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-76500-C,76500,call,1.1427,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-76500-P,76500,put,1.1427,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-77000-C,77000,call,1.1501,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-77000-P,77000,put,1.1501,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-78000-C,78000,call,1.1651,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-78000-P,78000,put,1.1651,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-79000-C,79000,call,1.18,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-79000-P,79000,put,1.18,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-80000-C,80000,call,1.1949,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-80000-P,80000,put,1.1949,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-81000-C,81000,call,1.2099,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-81000-P,81000,put,1.2099,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-82000-C,82000,call,1.2248,0.8505
deribit,BTC,2026-06-04,2026-06-03T12:00:00.0000000+00:00,66948.82,BTC-4JUN26-82000-P,82000,put,1.2248,0.8505
